27.2511,9.35343,0.66987
33.4179,11.078865,0.28566
318.4452,98.40195,60.38361
210.2274,63.185085,36.40545
50.9616,14.35905,5.91498
274.7277,73.64745,70.10424
380.6307,20.983095,73.1565
886.9599,139.54149,356.96097
642.8088,146.39868,335.32785
715.8096,150.845265,393.60906
666.2196,123.190515,232.74495
714.3282,171.72729,393.21855
768.3039,55.00296,211.57335
486.5589,68.383035,260.12484
1198.3482,83.367585,335.01528
881.0721,71.60877,373.46904
6.336,2.29248,0.00126
26.5473,9.718335,0.21366
25.3233,8.93646,0.28935
25.7292,8.985735,0.43092
19.7154,7.129845,0.13734
14.4891,5.10822,0.33264
334.9692,92.93373,101.73465
415.5795,97.15644,156.89106
268.6059,74.34855,88.10649
333.5742,82.07478,154.37952
1096.7166,220.903065,770.04495
1068.4179,197.209755,752.20956
2315.5533,312.16446,428.33007
696.1356,135.12816,481.5144
1039.9887,204.69303,671.27328
1032.9489,154.027035,586.9143
91.8054,29.02851,26.33067
40.0923,15.79608,2.31336
55.8774,19.03959,15.89076
39.7737,9.27927,22.55004
65.0943,23.93172,11.59398
505.179,117.55476,393.29055
358.2657,81.31293,208.94661
213.1245,53.486055,158.51889
607.6035,63.14643,255.50487
305.4042,74.755305,196.92054
665.8416,107.9577,447.30117
593.4438,82.21959,345.57291
132.7626,32.755185,104.35887
185.1525,40.74003,153.96696
446.9112,62.733825,264.65337
311.3415,69.860025,257.5755
1171.5039,99.563085,483.11316
395.487,80.473095,290.47554
405.7704,87.37785,377.21565
580.0284,123.113205,535.56435
368.9541,84.371175,308.82285
334.908,75.04641,255.25269
79.452,19.73664,34.31745
114.0561,33.480405,35.87418
173.052,40.55184,79.63092
180.9162,42.10902,74.16009
997.0515,188.870175,664.02216
813.5793,157.31091,543.951
1420.1235,174.9681,315.49437
811.4148,145.26864,617.98113
1192.2777,186.942825,588.70998
822.7368,91.259865,358.61139
802.4571,153.951705,582.71706
940.6008,152.84601,569.18394
817.7886,159.381045,453.37086
695.1987,128.88603,493.82532
402.7815,72.701955,161.10684
119.2446,24.21567,45.61272
89.4042,18.80523,52.94169
680.6097,97.02711,426.42396
1465.4979,91.431,486.77229
852.8418,160.231275,566.76798
632.6676,103.175505,470.47311
234.486,69.00795,172.33965
225.1494,65.02923,158.75892
143.3484,44.46414,91.68876
169.74,48.660795,109.95165
278.8695,65.05461,283.34817
426.2949,109.32084,364.40379
405.1935,99.375075,405.14985
263.3373,62.842725,266.88375
571.536,138.41109,580.72833
595.3131,58.03191,248.40819
400.0797,74.78073,224.07849
254.1438,56.61162,260.66124
190.458,44.276085,185.67297
172.7523,41.79402,170.52714
252.5157,60.08193,249.15717
466.7688,116.01765,463.55751
378.6336,86.700915,382.03992
816.0012,160.09416,530.90982
37.6002,13.6143,10.5399
57.9258,22.370715,9.54549
1143.3843,124.31988,435.41262
436.3362,84.04875,262.99359
416.8512,77.26392,255.28644
153.8109,34.9164,140.15925
440.2845,98.19171,405.98064
250.4826,58.64076,231.27867
232.4727,54.70506,218.05812
661.5135,143.758755,621.35496
370.0404,89.788185,318.89592
214.7544,47.87766,195.70572
287.5779,67.62015,268.70454
231.1362,56.982195,204.31089
581.9391,130.244625,571.97682
286.2153,70.790715,249.78204
309.7755,71.12493,306.88785
505.2546,111.322755,486.7047
512.3952,112.58118,268.93674
98.5563,28.163385,44.49942
115.6032,35.3016,41.8509
367.695,69.899265,228.8988
556.1451,118.003725,452.44827
469.638,96.931485,358.80138
674.1684,66.299985,261.7146
1272.6,43.83261,213.13116
481.6584,95.652225,383.31828
870.4728,89.928585,302.52627
321.3027,66.957705,267.35652
209.2041,45.687555,142.50582
1097.1603,53.83998,298.33506
232.4745,47.28006,201.11202
542.2104,84.90492,356.92398
1258.551,123.671655,570.82968
806.6133,110.03202,371.7837
414.5625,89.86005,339.07248
403.812,58.45338,247.11642
209.1762,43.594785,181.82997
342.8145,72.31887,264.41064
517.2174,109.619505,355.11219
815.5818,173.790855,675.25272
306.666,63.585,270.41238
453.6828,94.920345,342.64098
325.6191,33.619185,103.73886
161.703,21.3957,63.90684
1630.9125,117.45036,506.30211
251.6697,18.197055,68.00688
1081.6011,90.38871,461.87919
1536.624,26.279685,194.38704
5479.4988,189.31527,1197.51273
4668.6753,139.362165,931.18509
4297.5909,165.007395,1094.08941
3411.954,87.086205,521.75412
2106.27,161.5608,922.92057
1475.9343,122.17419,673.77942
1381.9095,86.949765,471.72771
1128.5136,98.972685,426.44403
1391.7879,77.969025,443.39895
3041.7966,80.91531,558.261
338.148,27.858555,104.11119
207.5607,17.27514,58.07871
49.2759,3.758175,12.16035
1532.4102,83.613555,533.54871
891.8631,39.93327,240.36957
1211.9976,56.11725,332.08677
2443.8465,95.38263,676.4364
5696.9253,147.446235,1088.13978
752.8788,42.57144,205.02486
6943.9194,145.968075,1151.08092
1668.3831,114.586785,684.86958
46.8657,14.131305,19.95021
75.6468,20.695455,41.4747
973.9908,196.56198,861.87942
641.6451,124.78806,562.39092
433.2807,91.024425,401.1093
683.2701,94.34394,381.63258
489.8196,100.17144,456.02613
326.52,70.010685,274.11039
500.3442,101.20779,434.28186
349.0425,71.650305,343.63161
731.4696,159.40197,618.62643
240.9885,50.711985,214.22772
629.0712,135.8568,540.4455
687.5793,148.26204,497.88306
1561.2714,265.76172,916.65207
841.4154,179.85042,705.17367
392.4558,77.971635,308.77281
262.089,61.05933,155.44134
475.0308,96.4611,367.93026
511.8813,103.27761,403.15122
316.2573,64.473345,213.23376
578.6811,123.31647,465.99084
694.71,147.118455,492.66063
124.6743,27.283005,75.14478
538.6941,120.285855,365.21991
439.0344,93.45519,269.41743
317.9196,80.99748,234.5283
476.2269,102.67695,453.44259
537.5124,120.042315,499.23171
504.7263,111.658815,445.74489
273.2949,61.709895,228.13119
357.2127,73.32669,324.01278
308.9457,67.20885,262.68192
551.6721,126.96246,494.45541
709.3278,152.45316,667.57257
422.9577,90.50868,383.0949
764.7975,165.65778,686.85606
178.3458,51.31476,82.9971
64.4796,10.52064,13.9437
86.9508,15.451335,28.49751
167.9553,35.290485,81.23202
145.053,20.80134,27.76716
145.6569,28.96416,60.07365
352.17,68.36562,226.64925
1096.2765,67.123395,418.37283
746.991,21.432735,119.7108
820.2816,22.621905,113.08374
1020.4722,82.7928,472.4622
186.4719,40.67514,41.87718
707.3991,65.80152,156.24603
1204.1298,115.641315,588.33747
1308.114,117.95454,672.87852
1352.0322,83.342115,463.9266
